robot,subset,method,reference,query_count,latency_ratio,latency_ratio_ci_low,latency_ratio_ci_high,fev_ratio,fev_ratio_ci_low,fev_ratio_ci_high,success_difference,success_difference_ci_low,success_difference_ci_high,deadline_difference,deadline_difference_ci_low,deadline_difference_ci_high,paired_latency_difference_ms,paired_latency_difference_ms_ci_low,paired_latency_difference_ms_ci_high,p50_ratio,p50_ratio_ci_low,p50_ratio_ci_high,p95_ratio,p95_ratio_ci_low,p95_ratio_ci_high,p99_ratio,p99_ratio_ci_low,p99_ratio_ci_high
panda,near_limit,full_cghik,p50_selection,500,0.9925220266744526,0.9841201769885805,1.0009302947888685,0.9798488664987406,0.9606383945612855,0.9948717948717949,0.0,0.0,0.0,0.0,0.0,0.0,-0.015351360000000005,-0.032996773600000015,0.001904074349999991,,,,,,,,,
panda,near_limit,full_cghik,geometry_threshold,500,1.0076104668300223,1.0008001464170455,1.014599112511356,1.0051679586563307,1.0,1.015748031496063,0.0,0.0,0.0,0.0,0.0,0.0,0.015389401333333328,0.001634627816666653,0.029413932049999984,,,,,,,,,
panda,near_limit,full_cghik,routing_only,500,0.9973634963036623,0.9891417926863694,1.0053817937465923,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005386144666666674,-0.022397857283333343,0.010985764749999991,,,,,,,,,
panda,near_limit,full_cghik,trac_ik_100ms,500,8.309167984127246,8.134817965735857,8.499639303672897,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.792311546,1.7682736334166664,1.8250920105333335,,,,,,,,,
panda,near_limit,full_cghik,trac_ik_20ms,500,8.303824517652103,8.138599787178025,8.489700295468161,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.7921537520000002,1.7678587794833334,1.824874645083333,,,,,,,,,
panda,near_limit,full_cghik,trac_ik_400ms,500,8.236792372083501,8.07400904056632,8.414013490167996,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.7901568813333333,1.7663830750666667,1.8226143489666669,,,,,,,,,
panda,near_limit,full_cghik,trac_ik_5ms,500,8.257657814068462,8.096959560102157,8.442866681459392,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.7907819326666665,1.7666186220333333,1.8234341172666666,,,,,,,,,
panda,hard_feasible,geometry_threshold,always_hard,500,1.0080531372173966,1.0068606800132562,1.0095090505958768,1.0,1.0,1.0,0.0,0.0,0.0,-0.0006666666666666668,-0.002,0.0,0.5585475699999998,0.5006372953833333,0.618396039216667,,,,,,,,,
panda,hard_feasible,reject_only_hard,always_hard,500,1.0092102294158156,1.0077748140667941,1.0109086550509097,1.0,1.0,1.0,0.0,0.0,0.0,-0.0013333333333333335,-0.004,0.0,0.6388008946666669,0.5582364398000005,0.7299818940666677,,,,,,,,,
panda,hard_feasible,routing_only,always_hard,500,1.0086358073395572,1.0072732035993783,1.0101523130863796,1.000396519440467,1.0,1.0008988114885908,0.0,0.0,0.0,-0.0006666666666666668,-0.002,0.0,0.5989602653333332,0.5232232245666666,0.6778351715833344,,,,,,,,,
panda,hard_feasible,p50_selection,always_hard,500,1.010004616463296,1.0084770441476298,1.0117939297642644,1.0062782244740611,1.0045833973697977,1.0082115899839938,0.0,0.0,0.0,-0.0006666666666666668,-0.002,0.0,0.6938978020000001,0.6082866258666668,0.7874521843499989,,,,,,,,,
panda,hard_feasible,full_cghik,always_hard,500,1.0087311602632332,1.0072784470474612,1.0105369458813245,1.000396519440467,1.0,1.0008988114885908,0.0,0.0,0.0,-0.0006666666666666668,-0.002,0.0,0.6055737306666666,0.5249763148166664,0.7072132406333335,,,,,,,,,
panda,hard_feasible,full_cghik,reject_only_hard,500,0.9995253029164599,0.9980126310996306,1.0011375034374295,1.000396519440467,1.0,1.0008988114885908,0.0,0.0,0.0,0.0006666666666666668,-0.002,0.004,-0.03322716400000037,-0.1397987580500011,0.07980844925000022,,,,,,,,,
panda,hard_feasible,full_cghik,p50_selection,500,0.9987391580401661,0.9972784225391916,1.0002749195229401,0.9941549912434325,0.9923041761735651,0.9957995645111742,0.0,0.0,0.0,0.0,-0.002,0.002,-0.08832407133333343,-0.1916059292166674,0.01963593196666712,,,,,,,,,
panda,hard_feasible,full_cghik,geometry_threshold,500,1.000672606453771,0.9994634098736409,1.0020950631823053,1.000396519440467,1.0,1.0008988114885908,0.0,0.0,0.0,0.0,-0.002,0.002,0.04702616066666672,-0.03717617685000051,0.1474905965833328,,,,,,,,,
panda,hard_feasible,full_cghik,routing_only,500,1.0000945365244642,0.998832317419128,1.0015988132999505,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.002,0.002,0.006613465333333233,-0.08209896631666731,0.10989489903333319,,,,,,,,,
panda,hard_feasible,full_cghik,trac_ik_100ms,500,203.21283533556434,179.34878947292427,226.86891289337296,,,,-0.15066666666666667,-0.18935000000000002,-0.112,-0.2313333333333333,-0.26933333333333337,-0.194,69.61904917,59.79040070118333,79.44015714001667,,,,,,,,,
