robot,method,reference,family,group,trajectory_count,method_total_ns,reference_total_ns,saved_ns,saved_fraction_of_total,method_total_fev,reference_total_fev,latency_ratio,latency_ratio_ci_low,latency_ratio_ci_high
ur5e,full_cghik,routing_only,joint_limit_return,both_complete,9,2448558657,2459035510,10476853,0.627579050941241,4050,4050,0.9957394462351623,0.9914262463842656,0.9996602050019462
ur5e,full_cghik,routing_only,joint_limit_return,only_cghik_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,routing_only,joint_limit_return,only_hard_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,routing_only,joint_limit_return,neither_complete,1,1298377480,1304594704,6217224,0.372420949058759,3496,3496,0.9952343636066148,0.9952343636066148,0.9952343636066148
ur5e,full_cghik,routing_only,high_curvature,both_complete,10,2712763674,2714691935,1928261,1.0,4500,4500,0.999289694357161,0.9938114181979877,1.0050975744423396
ur5e,full_cghik,routing_only,high_curvature,only_cghik_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,routing_only,high_curvature,only_hard_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,routing_only,high_curvature,neither_complete,0,0,0,0,0.0,0,0,,,
ur5e,full_cghik,trac_ik_5ms,all,both_complete,36,9763762321,1217772133,-8545990188,0.557759733209082,16052,,8.01772520196108,7.922698179555426,8.107489853601225
ur5e,full_cghik,trac_ik_5ms,all,only_cghik_complete,0,0,0,0,-0.0,0,,,,
ur5e,full_cghik,trac_ik_5ms,all,only_hard_complete,3,5958749487,134095917,-5824653570,0.3801498889854011,14830,,44.4364721932585,43.416921014112134,45.50285326168011
ur5e,full_cghik,trac_ik_5ms,all,neither_complete,1,1298377480,347029206,-951348274,0.062090377805516926,3496,,3.741406940832525,3.741406940832525,3.741406940832525
ur5e,full_cghik,trac_ik_5ms,smooth,both_complete,8,2181547561,269398079,-1912149482,0.39358982365426864,3594,,8.097858637663114,7.911594902344379,8.289726516716808
ur5e,full_cghik,trac_ik_5ms,smooth,only_cghik_complete,0,0,0,0,-0.0,0,,,,
ur5e,full_cghik,trac_ik_5ms,smooth,only_hard_complete,2,3039161571,93082087,-2946079484,0.6064101763457314,6548,,32.65033766378702,31.56487554617377,33.80835945736851
ur5e,full_cghik,trac_ik_5ms,smooth,neither_complete,0,0,0,0,-0.0,0,,,,
ur5e,full_cghik,trac_ik_5ms,near_singular,both_complete,9,2420892429,305184352,-2115708077,0.42362606035240946,3908,,7.932557528375504,7.766594211573743,8.104164045968
ur5e,full_cghik,trac_ik_5ms,near_singular,only_cghik_complete,0,0,0,0,-0.0,0,,,,
ur5e,full_cghik,trac_ik_5ms,near_singular,only_hard_complete,1,2919587916,41013830,-2878574086,0.5763739396475905,8282,,71.18544929844397,71.18544929844397,71.18544929844397
ur5e,full_cghik,trac_ik_5ms,near_singular,neither_complete,0,0,0,0,-0.0,0,,,,
ur5e,full_cghik,trac_ik_5ms,joint_limit_return,both_complete,9,2448558657,299792459,-2148766198,0.6931247918125263,4050,,8.167512502374183,7.8998705380822125,8.38622646230565
ur5e,full_cghik,trac_ik_5ms,joint_limit_return,only_cghik_complete,0,0,0,0,-0.0,0,,,,
ur5e,full_cghik,trac_ik_5ms,joint_limit_return,only_hard_complete,0,0,0,0,-0.0,0,,,,
ur5e,full_cghik,trac_ik_5ms,joint_limit_return,neither_complete,1,1298377480,347029206,-951348274,0.30687520818747366,3496,,3.741406940832525,3.741406940832525,3.741406940832525
ur5e,full_cghik,trac_ik_5ms,high_curvature,both_complete,10,2712763674,343397243,-2369366431,1.0,4500,,7.899782917010781,7.7879421073614745,8.018806334335558
ur5e,full_cghik,trac_ik_5ms,high_curvature,only_cghik_complete,0,0,0,0,-0.0,0,,,,
ur5e,full_cghik,trac_ik_5ms,high_curvature,only_hard_complete,0,0,0,0,-0.0,0,,,,
ur5e,full_cghik,trac_ik_5ms,high_curvature,neither_complete,0,0,0,0,-0.0,0,,,,
