case_id,horizon,initialization,found,best_found_rho,optimizer_status,total_ms,fk_calls,jacobian_calls,run_file
state_18_candidate_02,5,historical_prefix,True,0.11979847829617048,0,27.907149,125,85,runs/state_18_candidate_02_L5_historical_prefix.json
state_18_candidate_02,5,dls_prediction,True,0.11979847828528978,0,43.026185,180,135,runs/state_18_candidate_02_L5_dls_prediction.json
case_01_matched_00,1,hold,True,0.12956929287365584,0,5.344653,22,13,runs/case_01_matched_00_L1_hold.json
case_01_matched_00,1,historical_prefix,True,0.12956929287365584,0,5.210061,22,13,runs/case_01_matched_00_L1_historical_prefix.json
case_01_matched_00,1,dls_prediction,True,0.12956929287281946,0,6.639583,30,16,runs/case_01_matched_00_L1_dls_prediction.json
state_14_candidate_04,5,hold,True,0.09248864939762451,0,36.630859,150,120,runs/state_14_candidate_04_L5_hold.json
state_14_candidate_04,5,historical_prefix,True,0.09248864939993154,0,38.392569,160,120,runs/state_14_candidate_04_L5_historical_prefix.json
state_14_candidate_04,5,dls_prediction,True,0.09248864938786168,0,35.994403,155,110,runs/state_14_candidate_04_L5_dls_prediction.json
state_18_candidate_04,5,hold,True,0.11939871118544837,0,44.075038,175,145,runs/state_18_candidate_04_L5_hold.json
state_18_candidate_04,5,historical_prefix,True,0.11939871118473538,0,29.938757,130,90,runs/state_18_candidate_04_L5_historical_prefix.json
state_18_candidate_04,5,dls_prediction,True,0.1193987111874651,0,43.227797,180,135,runs/state_18_candidate_04_L5_dls_prediction.json
case_01_matched_05,10,hold,True,0.32350911693317913,0,211.083945,1000,620,runs/case_01_matched_05_L10_hold.json
case_01_matched_05,10,historical_prefix,True,0.32350911692510825,0,112.595957,450,360,runs/case_01_matched_05_L10_historical_prefix.json
case_01_matched_05,10,dls_prediction,True,0.3235091169153883,0,141.04486,618,424,runs/case_01_matched_05_L10_dls_prediction.json
state_13_candidate_02,1,hold,True,0.10891405029431124,0,4.065471,16,10,runs/state_13_candidate_02_L1_hold.json
state_13_candidate_02,1,historical_prefix,True,0.10891405029430105,0,4.069807,16,10,runs/state_13_candidate_02_L1_historical_prefix.json
state_13_candidate_02,1,dls_prediction,True,0.10891405029266119,0,4.212371,20,9,runs/state_13_candidate_02_L1_dls_prediction.json
state_08_candidate_01,30,hold,False,,9,1500.820602,3210,3030,runs/state_08_candidate_01_L30_hold.json
state_08_candidate_01,30,historical_prefix,True,0.2230937773483339,9,1398.38128,3330,3030,runs/state_08_candidate_01_L30_historical_prefix.json
state_08_candidate_01,30,dls_prediction,True,0.22344705052096556,9,1422.626255,3390,3060,runs/state_08_candidate_01_L30_dls_prediction.json
case_01_candidate_05,30,hold,False,,3,3953.344111,9930,2970,runs/case_01_candidate_05_L30_hold.json
case_01_candidate_05,30,historical_prefix,False,,3,3947.075109,9930,2970,runs/case_01_candidate_05_L30_historical_prefix.json
case_01_candidate_05,30,dls_prediction,True,0.44459589576405284,0,393.883638,1470,989,runs/case_01_candidate_05_L30_dls_prediction.json
state_08_candidate_00,10,hold,True,0.19693353507734843,0,317.285802,970,900,runs/state_08_candidate_00_L10_hold.json
state_08_candidate_00,10,historical_prefix,True,0.19693353504901936,0,301.907056,970,880,runs/state_08_candidate_00_L10_historical_prefix.json
state_08_candidate_00,10,dls_prediction,True,0.19693353507921238,0,303.529544,1010,890,runs/state_08_candidate_00_L10_dls_prediction.json
case_01_matched_02,1,hold,True,0.12764074066126802,0,5.437704,23,13,runs/case_01_matched_02_L1_hold.json
case_01_matched_02,1,historical_prefix,True,0.1276407406664219,0,5.474505,23,14,runs/case_01_matched_02_L1_historical_prefix.json
case_01_matched_02,1,dls_prediction,True,0.12764074066538805,0,6.575171,29,16,runs/case_01_matched_02_L1_dls_prediction.json
