panel,site_id,condition,completed,repeats,center_id,candidate_id,center_completed,position_match_error,orientation_match_error,scope,predictor,informative_pairs,comparable_pairs,unknown_pairs,concordant,discordant,ties,score,contributing_sites,note,repeat,cumulative_ms
d,case_04_pre_failure,A,,,,,,,,,,,,,,,,,,,0,135.650828
d,case_04_pre_failure,A,,,,,,,,,,,,,,,,,,,1,135.6996
d,case_04_pre_failure,A,,,,,,,,,,,,,,,,,,,2,135.682815
d,case_04_pre_failure,A,,,,,,,,,,,,,,,,,,,3,136.463477
d,case_04_pre_failure,A,,,,,,,,,,,,,,,,,,,4,136.507625
d,case_04_pre_failure,current_only,,,,,,,,,,,,,,,,,,,0,137.043005
d,case_04_pre_failure,current_only,,,,,,,,,,,,,,,,,,,1,135.659524
d,case_04_pre_failure,current_only,,,,,,,,,,,,,,,,,,,2,136.663109
d,case_04_pre_failure,current_only,,,,,,,,,,,,,,,,,,,3,135.902076
d,case_04_pre_failure,current_only,,,,,,,,,,,,,,,,,,,4,135.29893
d,case_04_pre_failure,B,,,,,,,,,,,,,,,,,,,0,136.165876
d,case_04_pre_failure,B,,,,,,,,,,,,,,,,,,,1,135.382726
d,case_04_pre_failure,B,,,,,,,,,,,,,,,,,,,2,136.582924
d,case_04_pre_failure,B,,,,,,,,,,,,,,,,,,,3,137.086202
d,case_04_pre_failure,B,,,,,,,,,,,,,,,,,,,4,136.518025
d,case_05_pre_failure,A,,,,,,,,,,,,,,,,,,,0,157.134714
d,case_05_pre_failure,A,,,,,,,,,,,,,,,,,,,1,156.816758
d,case_05_pre_failure,A,,,,,,,,,,,,,,,,,,,2,150.951448
d,case_05_pre_failure,A,,,,,,,,,,,,,,,,,,,3,153.629174
d,case_05_pre_failure,A,,,,,,,,,,,,,,,,,,,4,157.15386
d,case_05_pre_failure,current_only,,,,,,,,,,,,,,,,,,,0,154.89482
d,case_05_pre_failure,current_only,,,,,,,,,,,,,,,,,,,1,153.845297
d,case_05_pre_failure,current_only,,,,,,,,,,,,,,,,,,,2,154.064922
d,case_05_pre_failure,current_only,,,,,,,,,,,,,,,,,,,3,153.197266
d,case_05_pre_failure,current_only,,,,,,,,,,,,,,,,,,,4,153.514273
d,case_05_pre_failure,B,,,,,,,,,,,,,,,,,,,0,353.822105
d,case_05_pre_failure,B,,,,,,,,,,,,,,,,,,,1,385.06873
d,case_05_pre_failure,B,,,,,,,,,,,,,,,,,,,2,390.938262
d,case_05_pre_failure,B,,,,,,,,,,,,,,,,,,,3,394.017836
d,case_05_pre_failure,B,,,,,,,,,,,,,,,,,,,4,511.698599
d,case_06_pre_failure,A,,,,,,,,,,,,,,,,,,,0,162.571724
d,case_06_pre_failure,A,,,,,,,,,,,,,,,,,,,1,163.577831
d,case_06_pre_failure,A,,,,,,,,,,,,,,,,,,,2,162.223686
d,case_06_pre_failure,A,,,,,,,,,,,,,,,,,,,3,162.819974
d,case_06_pre_failure,A,,,,,,,,,,,,,,,,,,,4,162.862313
d,case_06_pre_failure,current_only,,,,,,,,,,,,,,,,,,,0,12.70314
d,case_06_pre_failure,current_only,,,,,,,,,,,,,,,,,,,1,12.395817
d,case_06_pre_failure,current_only,,,,,,,,,,,,,,,,,,,2,12.208722
d,case_06_pre_failure,current_only,,,,,,,,,,,,,,,,,,,3,11.616648
d,case_06_pre_failure,current_only,,,,,,,,,,,,,,,,,,,4,11.812876
d,case_06_pre_failure,B,,,,,,,,,,,,,,,,,,,0,5212.383543
d,case_06_pre_failure,B,,,,,,,,,,,,,,,,,,,1,5233.821515
d,case_06_pre_failure,B,,,,,,,,,,,,,,,,,,,2,5208.761135
d,case_06_pre_failure,B,,,,,,,,,,,,,,,,,,,3,5231.41041
d,case_06_pre_failure,B,,,,,,,,,,,,,,,,,,,4,5222.654526
d,case_07_pre_failure,A,,,,,,,,,,,,,,,,,,,0,11.394799
d,case_07_pre_failure,A,,,,,,,,,,,,,,,,,,,1,11.871167
d,case_07_pre_failure,A,,,,,,,,,,,,,,,,,,,2,11.451847
d,case_07_pre_failure,A,,,,,,,,,,,,,,,,,,,3,11.68472
d,case_07_pre_failure,A,,,,,,,,,,,,,,,,,,,4,11.856956
d,case_07_pre_failure,current_only,,,,,,,,,,,,,,,,,,,0,11.698797
d,case_07_pre_failure,current_only,,,,,,,,,,,,,,,,,,,1,11.704356
d,case_07_pre_failure,current_only,,,,,,,,,,,,,,,,,,,2,12.113484
d,case_07_pre_failure,current_only,,,,,,,,,,,,,,,,,,,3,11.720525
