robot,method,baseline,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,cr_ik_elastic_mu025,pink_qp,frame_deadline_success,160,-0.006902777777777784,"[-0.03618819444444446,0.022264409722222222]",0.992232797286949,"[0.9597858655579242,1.0254862440732335]"
ur5e,cr_ik_elastic_mu025,cr_ik_mu0_analytic,completion,160,0.002083333333333333,"[-0.01666666666666667,0.025]",1.0022471910112363,"[0.981691259633341,1.0275862068965518]"
ur5e,cr_ik_elastic_mu025,cr_ik_mu0_analytic,deadline_completion,160,0.0125,"[-0.018750000000000003,0.04583333333333334]",1.0142517814726841,"[0.9785662774725274,1.054054054054054]"
ur5e,cr_ik_elastic_mu025,cr_ik_mu0_analytic,total_latency_ns,160,30047254.177083332,"[8971467.88416667,47806933.40010418]",1.1261745750009997,"[1.0362141059479533,1.21118743409624]"
ur5e,cr_ik_elastic_mu025,cr_ik_mu0_analytic,frame_success,160,0.0022500000000000024,"[-0.008541840277777775,0.014828645833333345]",1.0023160558426798,"[0.9912939263270265,1.0154709653160825]"
ur5e,cr_ik_elastic_mu025,cr_ik_mu0_analytic,acceleration_rms,160,0.15969136817416013,"[-0.06901819970676305,0.3930785556064226]",1.011184924789655,"[0.9952106419585736,1.028046798487213]"
ur5e,cr_ik_elastic_mu025,cr_ik_mu0_analytic,intervention_normalized_mean,160,0.0009585499370691128,"[0.00031619526336666904,0.0015379385429216922]",1.1049189603320084,"[1.0315744156946658,1.1829169526610364]"
ur5e,cr_ik_elastic_mu025,cr_ik_mu0_analytic,optimization_call_rate,160,0.35457638888888887,"[0.3265336805555556,0.3825868055555555]",5.662496575655191,"[4.676565579213524,7.041204451228038]"
ur5e,cr_ik_elastic_mu025,cr_ik_mu0_analytic,partial_correction_rate,160,0.035201388888888886,"[0.025936284722222223,0.044944618055555566]",,
ur5e,cr_ik_elastic_mu025,cr_ik_mu0_analytic,effective_command_adjustment_rate,160,0.034958333333333334,"[0.025582812500000003,0.044646527777777785]",2.104189515244571,"[1.804796504233747,2.442307273769066]"
ur5e,cr_ik_elastic_mu025,cr_ik_mu0_analytic,normalized_shortfall_reduction_mean,160,0.0018209599719656877,"[0.0013112347857839814,0.002373961082488041]",,
ur5e,cr_ik_elastic_mu025,cr_ik_mu0_analytic,successful_prefix,160,0.14791666666666697,"[-3.3563020833333335,4.152500000000002]",1.000511203271701,"[0.9885296100640736,1.0146322850288507]"
ur5e,cr_ik_elastic_mu025,cr_ik_mu0_analytic,frame_deadline_success,160,0.0022916666666666714,"[-0.008500347222222218,0.014903472222222235]",1.0023593842722014,"[0.9913347364928607,1.0155246226858254]"
ur5e,cr_ik_elastic_mu025,two_step_predictive,completion,160,0.1125,"[0.06458333333333334,0.16249999999999998]",1.1377551020408165,"[1.0765504562012538,1.209366391184573]"
ur5e,cr_ik_elastic_mu025,two_step_predictive,deadline_completion,160,0.09375,"[0.04375,0.14791666666666664]",1.117801047120419,"[1.052490229528536,1.1973435028248591]"
ur5e,cr_ik_elastic_mu025,two_step_predictive,total_latency_ns,160,-860799991.3083332,"[-883906350.172031,-837837563.0973437]",0.2375469716945305,"[0.2190733941504205,0.2583546272594005]"
ur5e,cr_ik_elastic_mu025,two_step_predictive,frame_success,160,0.05325694444444444,"[0.03098368055555556,0.07896614583333333]",1.0578582853004195,"[1.0328595212645326,1.088475983714368]"
ur5e,cr_ik_elastic_mu025,two_step_predictive,acceleration_rms,160,5.72684553122547,"[5.018898746098747,6.47815744103814]",1.6574856694533895,"[1.569698774725902,1.7541566435245326]"
ur5e,cr_ik_elastic_mu025,two_step_predictive,intervention_normalized_mean,160,-0.15480004264080524,"[-0.17198858882836215,-0.1379065317287987]",0.061218758473689384,"[0.05189314778576252,0.07116610552421632]"
ur5e,cr_ik_elastic_mu025,two_step_predictive,optimization_call_rate,160,-0.5693055555555555,"[-0.6010835069444446,-0.5366857638888889]",0.43065490659073546,"[0.39888695919314326,0.46328768007578724]"
ur5e,cr_ik_elastic_mu025,two_step_predictive,successful_prefix,160,18.745833333333334,"[10.420677083333333,27.915312500000006]",1.0692361554620236,"[1.0376635933141058,1.1060854886498908]"
ur5e,cr_ik_elastic_mu025,two_step_predictive,frame_deadline_success,160,0.0531875,"[0.030847048611111108,0.07893836805555556]",1.0577872006518885,"[1.0327640698158793,1.088487355090681]"
ur5e,cr_ik_elastic_mu025,trac_task_5ms,completion,160,0.02291666666666667,"[-0.014583333333333332,0.05625]",1.0252873563218392,"[0.9844097995545659,1.0637280976220278]"
ur5e,cr_ik_elastic_mu025,trac_task_5ms,deadline_completion,160,0.0062499999999999995,"[-0.035416666666666666,0.04583333333333334]",1.0070754716981132,"[0.961451247165533,1.0525091068961185]"
ur5e,cr_ik_elastic_mu025,trac_task_5ms,total_latency_ns,160,161911268.64583334,"[140173439.24020833,184267036.74359375]",2.523493516947889,"[2.1081623779782563,3.1118372742548557]"
ur5e,cr_ik_elastic_mu025,trac_task_5ms,frame_success,160,0.01015277777777778,"[-0.0032652777777777715,0.023660416666666666]",1.0105365572411806,"[0.9966462331928391,1.024821609830007]"
ur5e,cr_ik_elastic_mu025,trac_task_5ms,acceleration_rms,160,0.7542192668766419,"[0.33952192038035806,1.1483362263244083]",1.0551215144372175,"[1.0240141579435713,1.0878575270091067]"
ur5e,cr_ik_elastic_mu025,trac_task_5ms,successful_prefix,160,5.397916666666667,"[-0.28755208333333326,11.4753125]",1.0190000586647896,"[0.9989995238131938,1.0412077973319869]"
ur5e,cr_ik_elastic_mu025,trac_task_5ms,frame_deadline_success,160,0.010097222222222221,"[-0.003369791666666665,0.023611805555555556]",1.010479807990313,"[0.9965387701780377,1.024760149294863]"
ur5e,cr_ik_elastic_mu025,trac_task_20ms,completion,160,-0.014583333333333332,"[-0.04791666666666667,0.014583333333333337]",0.9845474613686536,"[0.9487721971444479,1.0157312227958297]"
ur5e,cr_ik_elastic_mu025,trac_task_20ms,deadline_completion,160,-0.027083333333333327,"[-0.06458333333333334,0.008333333333333337]",0.9704545454545452,"[0.9298602774443112,1.0093457943925233]"
ur5e,cr_ik_elastic_mu025,trac_task_20ms,total_latency_ns,160,70705268.87291667,"[-1421830.6136979072,135086963.81]",1.3580334314786897,"[0.9948061793628443,2.0908499949368013]"
ur5e,cr_ik_elastic_mu025,trac_task_20ms,frame_success,160,-0.0022986111111111067,"[-0.014632291666666662,0.009570138888888895]",0.9976449326920342,"[0.9850723709220537,1.0098664577002014]"
ur5e,cr_ik_elastic_mu025,trac_task_20ms,acceleration_rms,160,0.5893426775109296,"[0.1861432054115666,0.9826259535227383]",1.0425588118857738,"[1.0131065087511417,1.0752715149824887]"
ur5e,cr_ik_elastic_mu025,trac_task_20ms,successful_prefix,160,-0.09166666666666679,"[-5.167083333333332,5.073645833333336]",0.9996834600692072,"[0.9822716684028695,1.0177616020695177]"
ur5e,cr_ik_elastic_mu025,trac_task_20ms,frame_deadline_success,160,-0.0023472222222222206,"[-0.014687673611111108,0.009493923611111114]",0.9975949051837621,"[0.9850122694927883,1.0098100791236946]"
ur5e,cr_ik_elastic_mu025,pink_qp,completion,160,0.24166666666666664,"[0.17494791666666668,0.3083333333333333]",1.3515151515151518,"[1.231638418079096,1.4951836569579289]"
ur5e,cr_ik_elastic_mu025,pink_qp,deadline_completion,160,0.2145833333333333,"[0.14583333333333331,0.2833333333333333]",1.317901234567901,"[1.1994087918755785,1.460012027491409]"
ur5e,cr_ik_elastic_mu025,pink_qp,total_latency_ns,160,73369245.53333333,"[50691024.26411459,99306639.35416669]",1.3766033951755314,"[1.2606377727727685,1.5081385958599516]"
ur5e,cr_ik_elastic_mu025,pink_qp,frame_success,160,0.08733333333333333,"[0.056505729166666664,0.11888229166666667]",1.0985263355818273,"[1.0615040273412566,1.139201434644729]"
ur5e,cr_ik_elastic_mu025,pink_qp,acceleration_rms,160,-3.112775262516782,"[-4.1379711480228,-2.080259158498648]",0.8226322899828088,"[0.7808044325191765,0.8708945518476737]"
ur5e,cr_ik_elastic_mu025,pink_qp,successful_prefix,160,42.22916666666667,"[30.02453125,54.74098958333333]",1.1707824650978609,"[1.115173722487023,1.2330297202623808]"
ur5e,cr_ik_elastic_mu025,pink_qp,frame_deadline_success,160,0.08724305555555555,"[0.056395138888888884,0.1187373263888889]",1.0984298854537191,"[1.0614454710989611,1.139101133981428]"
