robot,method,baseline,family,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,single_gn_k1,trac_task_20ms,all,total_latency_ns,160,-47440942.114583336,"[-91387743.34067707,-9714802.564583335]",0.5010803907964256,"[0.351046858705519,0.8252809982223699]"
panda,single_gn_k1,trac_task_20ms,all,frame_success,160,0.00561111111111111,"[-0.007834027777777775,0.01929270833333334]",1.005734563520227,"[0.9920293735919101,1.0199671813891604]"
panda,single_gn_k1,trac_task_20ms,all,acceleration_rms,160,-0.4097584198124509,"[-1.0608414307815683,0.24297661333037807]",0.9009030741072187,"[0.7623645480548614,1.0633867911015125]"
panda,single_gn_k1,trac_task_20ms,all,successful_prefix,160,0.7208333333333334,"[-1.3959895833333333,2.7979687500000003]",1.0049114240290713,"[0.990541521658437,1.0192089204836852]"
panda,single_gn_k1,trac_task_20ms,smooth,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,trac_task_20ms,smooth,deadline_completion,40,0.008333333333333335,"[-0.01666666666666667,0.03333333333333334]",1.0084745762711864,"[0.9831897165645918,1.0347826086956522]"
panda,single_gn_k1,trac_task_20ms,smooth,total_latency_ns,40,13774347.608333334,"[12299273.926666666,15242862.792916667]",1.5011621993995945,"[1.4260187390321148,1.5737062605228467]"
panda,single_gn_k1,trac_task_20ms,smooth,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,trac_task_20ms,smooth,acceleration_rms,40,-0.23649993340695175,"[-0.543508213559471,0.01322373186379551]",0.7934304841157653,"[0.6149081894778919,1.0132911707318062]"
panda,single_gn_k1,trac_task_20ms,smooth,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,trac_task_20ms,near_singular,completion,40,0.03333333333333334,"[-0.05,0.11666666666666667]",1.0363636363636364,"[0.9487179487179487,1.1400000000000001]"
panda,single_gn_k1,trac_task_20ms,near_singular,deadline_completion,40,0.04166666666666667,"[-0.041666666666666664,0.13333333333333333]",1.0458715596330277,"[0.9557522123893806,1.153846153846154]"
panda,single_gn_k1,trac_task_20ms,near_singular,total_latency_ns,40,-57829712.40833334,"[-139572387.79833335,2722441.816666669]",0.45028492271171155,"[0.2636682289014113,1.0655930374320557]"
panda,single_gn_k1,trac_task_20ms,near_singular,frame_success,40,0.004055555555555554,"[-0.022555555555555558,0.028333333333333332]",1.004146313756674,"[0.9771409267496199,1.0294277077377187]"
panda,single_gn_k1,trac_task_20ms,near_singular,acceleration_rms,40,-1.351298298370875,"[-3.805874500277414,1.0680472161240295]",0.8026717672253737,"[0.5299363527345209,1.182738720716378]"
panda,single_gn_k1,trac_task_20ms,near_singular,successful_prefix,40,0.6250000000000007,"[-3.366666666666666,4.250625000000003]",1.0042603953646898,"[0.9772509713384764,1.0295795970653314]"
panda,single_gn_k1,trac_task_20ms,joint_limit_return,completion,40,0.0,"[-0.075,0.075]",1.0,"[0.9230769230769231,1.0833333333333333]"
panda,single_gn_k1,trac_task_20ms,joint_limit_return,deadline_completion,40,0.0,"[-0.075,0.075]",1.0,"[0.9230769230769231,1.0833333333333333]"
panda,single_gn_k1,trac_task_20ms,joint_limit_return,total_latency_ns,40,-41263951.525,"[-157377961.42729163,25471543.722291667]",0.5431413808311418,"[0.22933439721261395,1.9504296605225122]"
panda,single_gn_k1,trac_task_20ms,joint_limit_return,frame_success,40,0.005055555555555552,"[-0.03455555555555556,0.049722222222222216]",1.0051642926054138,"[0.9651149747616377,1.0525450595902075]"
panda,single_gn_k1,trac_task_20ms,joint_limit_return,acceleration_rms,40,0.013137894834780017,"[-0.427544461022876,0.5343778179482477]",1.0078000652013408,"[0.7482719345924834,1.3249131379476407]"
panda,single_gn_k1,trac_task_20ms,joint_limit_return,successful_prefix,40,0.7583333333333332,"[-5.1833333333333345,7.458333333333333]",1.0051642926054138,"[0.9651149747616375,1.0525450595902073]"
panda,single_gn_k1,trac_task_20ms,high_curvature,completion,40,0.05,"[0.0,0.125]",1.0555555555555556,"[1.0,1.1515151515151516]"
panda,single_gn_k1,trac_task_20ms,high_curvature,deadline_completion,40,0.058333333333333334,"[0.0,0.13333333333333336]",1.0654205607476637,"[1.0,1.1632653061224492]"
panda,single_gn_k1,trac_task_20ms,high_curvature,total_latency_ns,40,-104444452.13333333,"[-237561307.98499995,-4512433.710833333]",0.33620355596805795,"[0.21466334612151952,0.9083990096687955]"
panda,single_gn_k1,trac_task_20ms,high_curvature,frame_success,40,0.013333333333333336,"[-0.011000000000000001,0.04290138888888895]",1.0139348545549556,"[0.9888362652232746,1.047107796871277]"
