run_id,site_id,uid,family,candidate_id,repeat,complete,accepted_frames,prefix_frames,first_failure_frame,first_failure_kind,total_latency_ns
state_33_candidate_05_r0,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_05,0,True,30,30,,,16890037
state_33_candidate_00_r3,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_00,3,True,30,30,,,15968355
state_33_candidate_03_r1,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_03,1,True,30,30,,,16829215
state_33_candidate_02_r4,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_02,4,True,30,30,,,15873456
state_33_candidate_02_r2,state_33,9cc25b94bef1d05e0d4366b6d912f2cbebc33b1bae9173de150c19a259c665d9,high_curvature,candidate_02,2,True,30,30,,,17505600
state_38_candidate_04_r1,state_38,d1a048cbc8812f1712532adb1394ba5ae2e1b504ba5c4b694468fe4fa89d9fd5,high_curvature,candidate_04,1,True,30,30,,,16281132
state_38_candidate_02_r0,state_38,d1a048cbc8812f1712532adb1394ba5ae2e1b504ba5c4b694468fe4fa89d9fd5,high_curvature,candidate_02,0,True,30,30,,,16663721
state_38_candidate_00_r4,state_38,d1a048cbc8812f1712532adb1394ba5ae2e1b504ba5c4b694468fe4fa89d9fd5,high_curvature,candidate_00,4,True,30,30,,,16512647
state_38_candidate_03_r4,state_38,d1a048cbc8812f1712532adb1394ba5ae2e1b504ba5c4b694468fe4fa89d9fd5,high_curvature,candidate_03,4,True,30,30,,,18052516
state_38_candidate_02_r3,state_38,d1a048cbc8812f1712532adb1394ba5ae2e1b504ba5c4b694468fe4fa89d9fd5,high_curvature,candidate_02,3,True,30,30,,,18363252
state_38_candidate_04_r0,state_38,d1a048cbc8812f1712532adb1394ba5ae2e1b504ba5c4b694468fe4fa89d9fd5,high_curvature,candidate_04,0,True,30,30,,,22737989
state_38_candidate_02_r2,state_38,d1a048cbc8812f1712532adb1394ba5ae2e1b504ba5c4b694468fe4fa89d9fd5,high_curvature,candidate_02,2,True,30,30,,,15703893
state_38_candidate_01_r4,state_38,d1a048cbc8812f1712532adb1394ba5ae2e1b504ba5c4b694468fe4fa89d9fd5,high_curvature,candidate_01,4,True,30,30,,,17633331
state_38_candidate_01_r0,state_38,d1a048cbc8812f1712532adb1394ba5ae2e1b504ba5c4b694468fe4fa89d9fd5,high_curvature,candidate_01,0,True,30,30,,,18044085
state_38_candidate_02_r4,state_38,d1a048cbc8812f1712532adb1394ba5ae2e1b504ba5c4b694468fe4fa89d9fd5,high_curvature,candidate_02,4,True,30,30,,,18133898
