uid,method,robot,anchor_uid,anchor_family,displacement,alpha,accepted,timely,latency_ns,success_by_repeat,condition
0a6f8f88bac9aec4ea1c2cb8382bb1241da0a4e3345ed3410cd4b7ec47eaeede,relative,panda,d93b60ab43917a1e2581f7775aa3d51d66f5b22eb2a63d6c5537d67219199ad5,near_limit,high_utilization,0.95,1.0,1.0,454428.3333333333,"[true,true,true]",nominal
0be75cf44716c3f0bff4adad75d781442ef3f171cc5078cf45743a5acd41ed36,direct_sqp,panda,9d4e99748b7d4cb54a5aa3347655d2cd5befbcaaf212a37d0b6c7ad44f7890ba,ordinary,multijoint_boundary,0.95,1.0,1.0,2638106.3333333335,"[true,true,true]",nominal
0be75cf44716c3f0bff4adad75d781442ef3f171cc5078cf45743a5acd41ed36,eta010,panda,9d4e99748b7d4cb54a5aa3347655d2cd5befbcaaf212a37d0b6c7ad44f7890ba,ordinary,multijoint_boundary,0.95,1.0,1.0,317952.3333333333,"[true,true,true]",nominal
0be75cf44716c3f0bff4adad75d781442ef3f171cc5078cf45743a5acd41ed36,eta050,panda,9d4e99748b7d4cb54a5aa3347655d2cd5befbcaaf212a37d0b6c7ad44f7890ba,ordinary,multijoint_boundary,0.95,1.0,1.0,318969.3333333333,"[true,true,true]",nominal
0be75cf44716c3f0bff4adad75d781442ef3f171cc5078cf45743a5acd41ed36,gn,panda,9d4e99748b7d4cb54a5aa3347655d2cd5befbcaaf212a37d0b6c7ad44f7890ba,ordinary,multijoint_boundary,0.95,1.0,1.0,349315.6666666667,"[true,true,true]",nominal
0be75cf44716c3f0bff4adad75d781442ef3f171cc5078cf45743a5acd41ed36,relative,panda,9d4e99748b7d4cb54a5aa3347655d2cd5befbcaaf212a37d0b6c7ad44f7890ba,ordinary,multijoint_boundary,0.95,1.0,1.0,329964.6666666667,"[true,true,true]",nominal
0c62c4dd0ec2d5a9281f3ddd46b14417447d048f00149118d0d50b09b691a745,direct_sqp,panda,03f3022bedd8eb294b1a3072ccf6fb73568d2b2abba628590fb3b32ac76130b3,near_limit,regular,0.0,1.0,1.0,1013485.0,"[true,true,true]",nominal
0c62c4dd0ec2d5a9281f3ddd46b14417447d048f00149118d0d50b09b691a745,eta010,panda,03f3022bedd8eb294b1a3072ccf6fb73568d2b2abba628590fb3b32ac76130b3,near_limit,regular,0.0,1.0,1.0,280852.0,"[true,true,true]",nominal
0c62c4dd0ec2d5a9281f3ddd46b14417447d048f00149118d0d50b09b691a745,eta050,panda,03f3022bedd8eb294b1a3072ccf6fb73568d2b2abba628590fb3b32ac76130b3,near_limit,regular,0.0,1.0,1.0,281184.6666666667,"[true,true,true]",nominal
0c62c4dd0ec2d5a9281f3ddd46b14417447d048f00149118d0d50b09b691a745,gn,panda,03f3022bedd8eb294b1a3072ccf6fb73568d2b2abba628590fb3b32ac76130b3,near_limit,regular,0.0,1.0,1.0,306536.0,"[true,true,true]",nominal
