robot,trajectory_uid,family,group,frames,hard_complete,hard_total_latency_ns,hard_total_fev,hard_reject_count,hard_defer_count,hard_fallback_count,hard_first_failure_frame,hard_first_failure_reason,cghik_complete,cghik_total_latency_ns,cghik_total_fev,cghik_reject_count,cghik_defer_count,cghik_fallback_count,cghik_first_failure_frame,cghik_first_failure_reason,saved_latency_ns
ur5e,4f700550dd4403298934e9f6496ac055d84d85180feed094dc5248601a771bb3,central_joint_limit_skim_return,neither_complete,150,False,3398419857,12375,0,0,105,22,all_cascade_stages_failed,False,689972772,2017,89,8,16,22,all_cascade_stages_failed,2708447085
ur5e,50fc1a368fab63a318400837a1b2dfcee22478e5a2a6600d80105f68c4c547e7,smooth_fast_orientation_smooth,both_complete,150,True,234845830,450,0,0,0,,,True,264122068,450,0,0,0,,,-29276238
ur5e,52de92845180bf114a0a0512172d590ac6c38cd894a6cf74cb01fad3237b03cd,central_joint_limit_skim_return,neither_complete,150,False,3857241332,13282,0,0,105,22,all_cascade_stages_failed,False,919035550,2545,89,8,16,22,all_cascade_stages_failed,2938205782
ur5e,59168e3022749dd200714da9ab2578665af973fb6b9ff931eba28f2c63ddcf3a,smooth_fast_orientation_smooth,both_complete,150,True,233422928,448,0,0,0,,,True,262470277,448,0,0,0,,,-29047349
ur5e,5ac583374c826fab4a66457b9da32e61f9fec487bd09d118e7eae987ddb0e574,slow_high_curvature_high_speed_slow,neither_complete,150,False,1658139828,3406,0,0,71,79,all_cascade_stages_failed,False,1512167231,3106,10,16,61,79,all_cascade_stages_failed,145972597
ur5e,5dcba759c2a0263eeb3c32656e2bae5e5d3f2134a303d5bd22c640ff6fa8272d,regular_near_singular_regular,both_complete,150,True,221920012,382,0,0,0,,,True,249525721,366,0,0,0,,,-27605709
ur5e,5eaf7a672088294f21a453e93a48060309ab2201594c6a0ed33d6e9be356ec03,smooth_fast_orientation_smooth,both_complete,150,True,234399657,448,0,0,0,,,True,263174599,448,0,0,0,,,-28774942
ur5e,5f85cfbabddfcb218d5c2bf7d00f1f9515a0c106cd10030488bdc66099835804,smooth_fast_orientation_smooth,neither_complete,150,False,2990516385,6631,0,0,80,72,all_cascade_stages_failed,False,2289039370,5045,18,22,62,72,all_cascade_stages_failed,701477015
ur5e,5fe99517e71abc3af2d61d53c59ab8bd777ec5c2f7ef1dc81b0f5cc715ec05c4,smooth_fast_orientation_smooth,both_complete,150,True,230800652,438,0,0,0,,,True,261425625,440,0,0,0,,,-30624973
ur5e,638df0c1dbb016854097e9950e46226e2a924cb4175b93880861d706355996ba,smooth_fast_orientation_smooth,both_complete,150,True,233301797,448,0,0,0,,,True,263529867,448,0,0,0,,,-30228070
