robot,subset,method,elapsed_limit_ms,verified_within_rate
ur5e,all,geometry_threshold,400,0.8333333333333334
ur5e,all,geometry_threshold,800,0.8333333333333334
ur5e,all,p50_selection,0.1,0.0
ur5e,all,p50_selection,0.25,0.0
ur5e,all,p50_selection,0.5,0.0
ur5e,all,p50_selection,1,0.0
ur5e,all,p50_selection,2,0.6023333333333334
ur5e,all,p50_selection,5,0.8258888888888889
ur5e,all,p50_selection,10,0.8326666666666667
ur5e,all,p50_selection,20,0.8333333333333334
ur5e,all,p50_selection,50,0.8333333333333334
ur5e,all,p50_selection,100,0.8333333333333334
ur5e,all,p50_selection,200,0.8333333333333334
ur5e,all,p50_selection,400,0.8333333333333334
ur5e,all,p50_selection,800,0.8333333333333334
ur5e,all,reject_only_hard,0.1,0.0
ur5e,all,reject_only_hard,0.25,0.0
ur5e,all,reject_only_hard,0.5,0.0
ur5e,all,reject_only_hard,1,0.0
ur5e,all,reject_only_hard,2,0.6018888888888889
ur5e,all,reject_only_hard,5,0.826
ur5e,all,reject_only_hard,10,0.8326666666666667
ur5e,all,reject_only_hard,20,0.8333333333333334
ur5e,all,reject_only_hard,50,0.8333333333333334
ur5e,all,reject_only_hard,100,0.8333333333333334
ur5e,all,reject_only_hard,200,0.8333333333333334
ur5e,all,reject_only_hard,400,0.8333333333333334
ur5e,all,reject_only_hard,800,0.8333333333333334
ur5e,all,routing_only,0.1,0.0
ur5e,all,routing_only,0.25,0.0
ur5e,all,routing_only,0.5,0.0
ur5e,all,routing_only,1,0.0
ur5e,all,routing_only,2,0.5998888888888889
ur5e,all,routing_only,5,0.8257777777777778
ur5e,all,routing_only,10,0.8326666666666667
ur5e,all,routing_only,20,0.8333333333333334
ur5e,all,routing_only,50,0.8333333333333334
ur5e,all,routing_only,100,0.8333333333333334
ur5e,all,routing_only,200,0.8333333333333334
ur5e,all,routing_only,400,0.8333333333333334
ur5e,all,routing_only,800,0.8333333333333334
ur5e,all,trac_ik_100ms,0.1,0.0
ur5e,all,trac_ik_100ms,0.25,0.6294444444444445
ur5e,all,trac_ik_100ms,0.5,0.8306666666666667
ur5e,all,trac_ik_100ms,1,0.8321111111111111
ur5e,all,trac_ik_100ms,2,0.8323333333333334
ur5e,all,trac_ik_100ms,5,0.8325555555555556
ur5e,all,trac_ik_100ms,10,0.8327777777777777
ur5e,all,trac_ik_100ms,20,0.8328888888888889
ur5e,all,trac_ik_100ms,50,0.833
ur5e,all,trac_ik_100ms,100,0.833
ur5e,all,trac_ik_100ms,200,0.833
ur5e,all,trac_ik_100ms,400,0.833
ur5e,all,trac_ik_100ms,800,0.833
ur5e,all,trac_ik_20ms,0.1,0.0
ur5e,all,trac_ik_20ms,0.25,0.6264444444444445
ur5e,all,trac_ik_20ms,0.5,0.8302222222222222
ur5e,all,trac_ik_20ms,1,0.832
ur5e,all,trac_ik_20ms,2,0.8323333333333334
ur5e,all,trac_ik_20ms,5,0.8327777777777777
ur5e,all,trac_ik_20ms,10,0.8327777777777777
ur5e,all,trac_ik_20ms,20,0.8328888888888889
ur5e,all,trac_ik_20ms,50,0.8328888888888889
ur5e,all,trac_ik_20ms,100,0.8328888888888889
ur5e,all,trac_ik_20ms,200,0.8328888888888889
ur5e,all,trac_ik_20ms,400,0.8328888888888889
ur5e,all,trac_ik_20ms,800,0.8328888888888889
ur5e,all,trac_ik_400ms,0.1,0.0
ur5e,all,trac_ik_400ms,0.25,0.623
ur5e,all,trac_ik_400ms,0.5,0.8302222222222222
ur5e,all,trac_ik_400ms,1,0.8325555555555556
ur5e,all,trac_ik_400ms,2,0.8327777777777777
ur5e,all,trac_ik_400ms,5,0.8328888888888889
ur5e,all,trac_ik_400ms,10,0.833
ur5e,all,trac_ik_400ms,20,0.833
ur5e,all,trac_ik_400ms,50,0.833
ur5e,all,trac_ik_400ms,100,0.833
ur5e,all,trac_ik_400ms,200,0.833
ur5e,all,trac_ik_400ms,400,0.833
ur5e,all,trac_ik_400ms,800,0.833
ur5e,all,trac_ik_5ms,0.1,0.0
ur5e,all,trac_ik_5ms,0.25,0.6325555555555555
ur5e,all,trac_ik_5ms,0.5,0.8303333333333334
ur5e,all,trac_ik_5ms,1,0.8323333333333334
ur5e,all,trac_ik_5ms,2,0.8327777777777777
ur5e,all,trac_ik_5ms,5,0.8328888888888889
ur5e,all,trac_ik_5ms,10,0.8328888888888889
ur5e,all,trac_ik_5ms,20,0.8328888888888889
ur5e,all,trac_ik_5ms,50,0.8328888888888889
ur5e,all,trac_ik_5ms,100,0.8328888888888889
