robot,method,uid,family,latency,latency_samples_ns,success,fev,deadline,all_success
panda,trac_ik_5ms,aaf127c87b502ac5d4005b1d369eb868b440ab7dfb6208532f9264a0aebfe0d8,constructed_inexecutable,5108044.666666667,"[5122079, 5085603, 5116452]",0.0,,0.0,False
panda,trac_ik_5ms,ab12710fee36e16e7ea3e07fb801c80202c691fd57c862d7c4f798c6d080378c,constructed_inexecutable,5130696.0,"[5129514, 5091459, 5171115]",0.0,,0.0,False
panda,trac_ik_5ms,ab259047f763148459494eace7f48c5139f855bff2e29b7191d0d1927790725a,near_limit,279199.6666666667,"[420128, 210177, 207294]",1.0,,1.0,True
panda,trac_ik_5ms,ab281520a2651825e4c6694102a9376da1c21e97ad1c86d57953d844419f14bf,local,254392.33333333334,"[264802, 257637, 240738]",1.0,,1.0,True
panda,trac_ik_5ms,ab4a4fefadd405b02543215b93257c4f1c86bbb3a26084345943148747ca42a4,constructed_inexecutable,5143612.666666667,"[5080066, 5143662, 5207110]",0.0,,0.0,False
panda,trac_ik_5ms,ab639e62b08b38bedbac49a89eaf0170a7330c227dcaf7210392ce272b82bcf3,hard_feasible,584867.6666666666,"[586126, 515255, 653222]",1.0,,1.0,True
panda,trac_ik_5ms,ab93df93e9353ce14b727bac329e955fb63ae5eaf216970f627e72dce3579016,near_singular,225503.66666666666,"[295204, 185252, 196055]",1.0,,1.0,True
panda,trac_ik_5ms,abc2c62f0f4baa2fab62742838cd353f3f9ea44708b7022b302cae9ccc0efb21,near_limit,325019.0,"[460836, 243621, 270600]",1.0,,1.0,True
panda,trac_ik_5ms,abc701c3764e467c15d49ca004a708fd0b7815b4c11374962b5bfc9fc685adac,near_singular,257976.0,"[332911, 254190, 186827]",1.0,,1.0,True
panda,trac_ik_5ms,abdd228532ad3a2809b9c9522ddc02636a983d3872de08ec28df573466d3ec52,near_limit,188338.0,"[176794, 168648, 219572]",1.0,,1.0,True
panda,trac_ik_5ms,abe0df4fb3c7c2f0a6c7bdd588c3f08169e5e0ad466e0105de473e2e589ffc6f,local,172461.0,"[170609, 172371, 174403]",1.0,,1.0,True
panda,trac_ik_5ms,ac1f003c24c6c26c15fbb60057ea6173a6dd03acb01de787555e40ea488eae0b,local,294035.0,"[350333, 325065, 206707]",1.0,,1.0,True
panda,trac_ik_5ms,ac2e5d80fa94007f4b078498e362a584acba2558740ec1d7a8a7a4b168245ba4,hard_feasible,290460.6666666667,"[359992, 274673, 236717]",1.0,,1.0,True
panda,trac_ik_5ms,ac5b52076e5f005a33f54f459bde3553f83ad0a6c53acb2c466601d020c080a1,near_limit,208197.0,"[184912, 210817, 228862]",1.0,,1.0,True
panda,trac_ik_5ms,ac6001f414383d634bc049a11e55cbeedb0bf66db32cfc6dc11a53c3d5d2cfbf,local,223683.66666666666,"[198205, 238454, 234392]",1.0,,1.0,True
panda,trac_ik_5ms,ac62b8112d1cd2922320dad3db2a7b2b31cd5bb466496a7fca4c273e795816c9,local,251827.66666666666,"[231811, 302765, 220907]",1.0,,1.0,True
panda,trac_ik_5ms,ac9f32633b5c5eae62399015c32c90366c98e15d1aa95d859507a37a5ea10574,near_limit,264306.6666666667,"[231675, 359670, 201575]",1.0,,1.0,True
panda,trac_ik_5ms,acc9fe901e30c6684bbf95ed679136b1601df3c89083fd8f5f5f7021082ee958,local,220904.33333333334,"[224840, 219013, 218860]",1.0,,1.0,True
panda,trac_ik_5ms,acd79a896c176a56ad932fdbbaefcc79dc63117b0ced166a775c800d2c50d177,local,247510.33333333334,"[262207, 220909, 259415]",1.0,,1.0,True
panda,trac_ik_5ms,acfe50e388c12aac903913f7caf074fc3ca600a4a1f00d98d1fb5348de87be90,near_singular,195367.66666666666,"[199461, 199311, 187331]",1.0,,1.0,True
panda,trac_ik_5ms,ad380b7be315e36681440c70faf623ee1305c84be6f34fc114d62a0c08c87301,near_limit,212880.66666666666,"[193063, 217672, 227907]",1.0,,1.0,True
panda,trac_ik_5ms,ad58454878eb00ae86f2b349c906a0d4916944b29593de1d724a0a585277efbb,near_singular,236557.66666666666,"[202423, 201309, 305941]",1.0,,1.0,True
panda,trac_ik_5ms,ad6242cfd28a1e6d89dd1edf185c3d3f1a047547f588f4f460413ab20100f01e,local,236433.33333333334,"[222902, 265055, 221343]",1.0,,1.0,True
panda,trac_ik_5ms,ad6681eaeb3f9291e5f73807dfd758984e408e5506a412726b900132014da0dd,hard_feasible,632223.3333333334,"[650449, 561257, 684964]",0.0,,0.0,False
panda,trac_ik_5ms,ad723ff2887e6e8dd72b206554a4be8f5030d352464a1c51a57dd415629a4093,near_singular,188700.66666666666,"[195183, 180138, 190781]",1.0,,1.0,True
panda,trac_ik_5ms,ad88a25989f5cfbc021596a38c6b506b4fba572b3ca42a701b6c3fbb9fa25f7d,near_singular,315136.6666666667,"[302738, 343019, 299653]",1.0,,1.0,True
panda,trac_ik_5ms,ad9b1f01430f86ebdc489b0b72371ac65876a487a9e5fde037da6596d383324c,local,275877.0,"[301448, 299570, 226613]",1.0,,1.0,True
panda,trac_ik_5ms,adb0dc51475c0e5bb7ffe847479ce9b0478db71a2faf46e42046d5ec7f2ee484,hard_feasible,241669.66666666666,"[189323, 221509, 314177]",1.0,,1.0,True
panda,trac_ik_5ms,add33676dfae8bae80abd6c825fad12bfc959903026c5943bf14c9a5b0860df4,local,257662.66666666666,"[248164, 319987, 204837]",1.0,,1.0,True
panda,trac_ik_5ms,add671a12213f9bde20013e75fd7905029c4040aa7fb2384cb09b9561503bbdd,constructed_inexecutable,5116722.333333333,"[5122357, 5112244, 5115566]",0.0,,0.0,False
panda,trac_ik_5ms,ae1036018ed5e4063617cdea4e2960d44eaa5d2a104d47fb9b5ad85a655f4388,local,269864.0,"[350300, 251368, 207924]",1.0,,1.0,True
panda,trac_ik_5ms,ae24e75524cdcb30c87346b4789843d6b9029dfb1e24412a8054f2656abf9758,constructed_inexecutable,5180963.0,"[5138137, 5255223, 5149529]",0.0,,0.0,False
