robot,uid,method,repeat,accepted,latency_ns,reason,raw_file,line
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,fixed_qp2,2,False,2037554,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26733
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,fixed_qp1,0,False,984464,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26735
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,gn,0,False,3743095,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26857
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,gn,2,False,3729950,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26858
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,fixed_qp2,0,False,1773313,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26859
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,gn,1,False,3788503,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26867
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,fixed_qp1,0,False,927352,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26868
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,fixed_qp2,2,False,1801851,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26872
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,fixed_qp2,1,False,1776898,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26874
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,fixed_qp1,1,False,917912,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26876
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,fixed_qp1,2,False,919903,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,26877
panda,7f0271f2dbc0d39090653c5af527e71646e1d32f0ecad96c97140ece570d919e,range_loss_matched,2,False,3762546,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,27613
panda,7f0271f2dbc0d39090653c5af527e71646e1d32f0ecad96c97140ece570d919e,range_loss_matched,1,False,3730797,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,27616
panda,7f0271f2dbc0d39090653c5af527e71646e1d32f0ecad96c97140ece570d919e,range_loss_matched,0,False,3679098,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,27623
panda,ab576e769af2cbb9469a3fc0ccebe2891a13ef45e0075ee7c232b54c627a1e49,range_loss_matched,1,False,3199506,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,28854
panda,ab576e769af2cbb9469a3fc0ccebe2891a13ef45e0075ee7c232b54c627a1e49,range_loss_matched,0,False,3176941,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,28863
panda,ab576e769af2cbb9469a3fc0ccebe2891a13ef45e0075ee7c232b54c627a1e49,range_loss_matched,2,False,3225251,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,28869
panda,22dcd3911b2ee2a78ede4d07acad535fa9bfcd719e7c3334d4424016d233cede,range_loss_matched,1,False,2474404,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,29930
panda,22dcd3911b2ee2a78ede4d07acad535fa9bfcd719e7c3334d4424016d233cede,range_loss_matched,0,False,2465903,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,29939
panda,22dcd3911b2ee2a78ede4d07acad535fa9bfcd719e7c3334d4424016d233cede,range_loss_matched,2,False,2504202,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,29948
