robot,group,method,baseline,queries,anchors,success_difference,success_difference_ci,timely_difference,timely_difference_ci,latency_ratio,latency_ratio_ci,gained_query_units,lost_query_units,net_mean_success_count,stable_gains,stable_losses,interval
panda,ordinary/regular/alpha=0.0,relative,clarabel,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0038377889466998,"[0.9958472676898181,1.0117605167906458]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.0,relative,range_loss_matched,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.1875612351383807,"[0.17056734857980746,0.20706523615494082]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.0,relative,direct_sqp,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.1849180517227397,"[0.17621264866782316,0.19447825202237007]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.0,relative,fixed_qp1,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0060768674063738,"[0.9989663158062846,1.0135680751520322]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.0,relative,fixed_qp2,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.005044626006687,"[0.9980130755547101,1.0124170500237684]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.5,relative,gn,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9153617266421777,"[0.908436882799585,0.9230869416262584]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.5,relative,tight,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0019484640437317,"[0.9922209350839731,1.011422539658653]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.5,relative,clarabel,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9973347150018173,"[0.9891368802321286,1.0049037613397653]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.5,relative,range_loss_matched,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.18120075308204744,"[0.1622802958400656,0.2028995520546184]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.5,relative,direct_sqp,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.1826074323558105,"[0.17409017177854375,0.19206929427823155]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.5,relative,fixed_qp1,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9933047767874789,"[0.9826717810496091,1.0031056703387837]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.5,relative,fixed_qp2,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0072722479714262,"[0.9996746956348793,1.0151775032318433]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.95,relative,gn,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9012933932910885,"[0.8948317348882735,0.907619977698691]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.95,relative,tight,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9961491934919249,"[0.9878816000171716,1.0046644506736035]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.95,relative,clarabel,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9862662063198869,"[0.9785829638388726,0.9941761838648258]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.95,relative,range_loss_matched,80,80,0.012499999999999956,"[0.0,0.03749999999999998]",0.012499999999999956,"[0.0,0.03749999999999998]",0.16090290747736852,"[0.14571139431700755,0.17899766213712656]",1,0,1.0,1,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.95,relative,direct_sqp,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.17664573622312407,"[0.16901282218415534,0.18489132326540605]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,ordinary/regular/alpha=0.95,relative,fixed_qp1,80,80,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.992258154902612,"[0.9853806159324658,0.9994361208708941]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
