robot,cohort,group,method,uid,unique_qps,kernel_ns,return_ns,total_ns,all_quality_pass
panda,targeted,all,osqp_cached,a32f076fd84a50b0746febbd023dfac09cce4d08b2e19b8eee9393caa4f35a24,3,34458.666666666664,57534.46666666667,102900.93333333333,True
panda,targeted,all,osqp_cached,39418c26c7c0ee7720f0a16e2b5930a336a74379ed31dd975416d5d9ab5766b1,4,75287.7,98087.35,143214.55,True
panda,targeted,all,osqp_cached,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,302,733083.9152317881,755864.980794702,802333.1496688742,True
panda,targeted,all,osqp_cached,a4757ca54027f468f26f705c836838ae45f57658e775c4c60a7395323f3fb346,5,39782.84,62937.72,108110.36,True
panda,targeted,all,osqp_cached,1b1432b684aef0b401c66b39b447aa074258ccfbe4d804811e9c02688243235a,11,35102.781818181815,59159.01818181818,105223.47272727273,True
panda,targeted,all,osqp_cached,6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100,302,1613193.0860927152,1636870.6721854305,1684757.3357615895,True
panda,targeted,all,osqp_cached,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,31,1491257.929032258,1514301.5032258064,1560599.522580645,False
panda,targeted,all,osqp_cached,98aff3582a84a6146748002550a34794014c19c6a94d633ebdfdfefa61217699,39,24166.928205128206,45844.91794871795,90925.01538461538,True
panda,targeted,all,osqp_cached,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,303,1395896.611221122,1419451.1313531352,1467177.2165016502,True
panda,targeted,all,osqp_cached,3a59b93a4c9e9c6b108b10e05344815f47411a6ce98c5ae4e2ed358ddc1d7440,10,139371.74,161965.24,207387.44,True
panda,targeted,all,osqp_cached,76723c8484a05a7bc2bff4047708ad396e6759dff58cd347e4b36eeb1bdedfd0,2,72725.1,95782.5,140821.4,True
panda,targeted,all,osqp_cached,4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da,303,737521.4481848185,760345.4712871287,807323.8699669967,True
panda,targeted,all,osqp_cached,9289844cd619fe3c022d910841ace12e165e07777f181c72cc2a1aec1da2e3fb,3,7274714.2,7304636.666666667,7356824.666666667,False
panda,targeted,all,osqp_cached,9408a6fe715e7be47720924bb6ceeff40609fd34a88003747eb1e71abe1a9a2f,2,50025.3,74018.4,119236.8,True
panda,targeted,all,osqp_cached,700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062,302,2635217.355629139,2660137.415231788,2709843.1907284767,True
panda,targeted,all,osqp_cached,2cd27cc14429c5bb9961620d46292e849640359e5072de88384099e723596b3b,1,364558.0,391441.6,436936.6,True
