robot,cohort,group,comparison,metric,all_qps,quality_paired_qps,source_uids,ratio,ci95_low,ci95_high,unit
ur5e,targeted,sequence_set_change,active_numpy / qpoases,total_ns,104,104,16,1.3873270869783865,1.2994324356672828,1.4980128266041732,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,sequence_set_change,active_numpy / osqp_cached,kernel_ns,104,104,16,1.6269995750505204,1.4337273715829486,1.8350121473655365,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,sequence_set_change,active_numpy / osqp_cached,return_ns,104,104,16,0.8779944041894296,0.7966703315404975,0.9716011474022102,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,sequence_set_change,active_numpy / osqp_cached,total_ns,104,104,16,0.9240721378378781,0.8782576428068953,0.9773339002115304,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,sequence_set_change,active_numpy / clip,kernel_ns,104,5,5,6.426178119670701,5.182047407921135,8.448893792836834,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,sequence_set_change,active_numpy / clip,return_ns,104,5,5,6.295476563527852,5.090825008353227,8.240062847360644,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,sequence_set_change,active_numpy / clip,total_ns,104,5,5,1.8501912055535374,1.775140881303198,1.9311305429846457,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,unconstrained,active_numpy / qpoases,kernel_ns,5,5,5,8.990979469925843,8.817082142080888,9.195897254520537,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,unconstrained,active_numpy / qpoases,return_ns,5,5,5,3.1548321166133233,3.1052032544422548,3.2091852495266995,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,unconstrained,active_numpy / qpoases,total_ns,5,5,5,1.5345970856655868,1.516627473838181,1.5543302106802637,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,unconstrained,active_numpy / osqp_cached,kernel_ns,5,5,5,2.418965039486445,2.224986773358037,2.6498094715522185,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,unconstrained,active_numpy / osqp_cached,return_ns,5,5,5,1.0820313945409026,1.0450925299668377,1.1216418713183725,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,unconstrained,active_numpy / osqp_cached,total_ns,5,5,5,1.046543648611885,1.0286118624905882,1.0626376842851204,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,unconstrained,active_numpy / clip,kernel_ns,5,5,5,6.426178119670701,5.182047407921135,8.448893792836834,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,unconstrained,active_numpy / clip,return_ns,5,5,5,6.295476563527852,5.090825008353227,8.240062847360644,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,targeted,unconstrained,active_numpy / clip,total_ns,5,5,5,1.8501912055535374,1.775140881303198,1.9311305429846457,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
