site_id,candidate_id,variant,repeat,accepted,failure_kind,position_error,orientation_error,velocity_margin,q
case_03_pre_failure,candidate_00,reused_ordinary,4,False,solver_failure,0.001394595737122606,0.012426891623272098,0.0436,"[-2.5349211704867685, -0.0892611422010342, -1.189669151620736, -0.3673078744945731, 1.5725777802751864, 0.20570825140077728, -0.658067130862223]"
case_03_pre_failure,candidate_09,reused_ordinary,4,True,accepted,1.395881956491158e-05,3.92909669178284e-06,0.005091378382705486,"[-2.5714109032298227, -0.09169506301188446, -1.1385110348300596, -0.36894891324700285, 1.5431031946819698, 0.20459703369779003, -0.662889255341244]"
case_03_pre_failure,candidate_08,reused_ordinary,4,False,solver_failure,0.0014824386543495652,0.01284294297798027,0.0436,"[-2.5293365810307753, -0.08340744942955287, -1.2216109910089912, -0.36403473292596605, 1.6037275602784078, 0.20151872410669536, -0.6536678311232419]"
case_04_pre_failure,candidate_03,reused_ordinary,1,False,solver_failure,0.001562972485187887,0.005014725857476284,0.0436,"[-2.1967924668105736, -0.2639664074576945, -1.8207775271474487, -0.48717378096803493, -0.5208826398444627, 2.2367786332264656, 1.2444203902507334]"
case_04_pre_failure,candidate_00,reused_ordinary,0,False,solver_failure,0.001605511090440852,0.0049851319626938815,0.0436,"[-2.1531834674543964, -0.26628328539241786, -1.8637367943725776, -0.4664376354614646, -0.5164281169577526, 2.2284708011743852, 1.2389487574361246]"
case_04_pre_failure,candidate_00,reused_ordinary,1,False,solver_failure,0.001605511090440852,0.0049851319626938815,0.0436,"[-2.1531834674543964, -0.26628328539241786, -1.8637367943725776, -0.4664376354614646, -0.5164281169577526, 2.2284708011743852, 1.2389487574361246]"
case_04_pre_failure,candidate_03,reused_ordinary,4,False,solver_failure,0.001562972485187887,0.005014725857476284,0.0436,"[-2.1967924668105736, -0.2639664074576945, -1.8207775271474487, -0.48717378096803493, -0.5208826398444627, 2.2367786332264656, 1.2444203902507334]"
case_04_pre_failure,candidate_02,reused_ordinary,1,False,solver_failure,0.0016040237885172057,0.005029255202882636,0.0436,"[-2.153166088937826, -0.26628800078109877, -1.8637659755434357, -0.4664517817652231, -0.5164279024036565, 2.228528850729824, 1.2389267932206884]"
case_04_pre_failure,candidate_03,reused_ordinary,2,False,solver_failure,0.001562972485187887,0.005014725857476284,0.0436,"[-2.1967924668105736, -0.2639664074576945, -1.8207775271474487, -0.48717378096803493, -0.5208826398444627, 2.2367786332264656, 1.2444203902507334]"
case_04_pre_failure,candidate_02,reused_ordinary,0,False,solver_failure,0.0016040237885172057,0.005029255202882636,0.0436,"[-2.153166088937826, -0.26628800078109877, -1.8637659755434357, -0.4664517817652231, -0.5164279024036565, 2.228528850729824, 1.2389267932206884]"
case_04_pre_failure,candidate_03,reused_ordinary,3,False,solver_failure,0.001562972485187887,0.005014725857476284,0.0436,"[-2.1967924668105736, -0.2639664074576945, -1.8207775271474487, -0.48717378096803493, -0.5208826398444627, 2.2367786332264656, 1.2444203902507334]"
case_04_pre_failure,candidate_03,reused_ordinary,0,False,solver_failure,0.001562972485187887,0.005014725857476284,0.0436,"[-2.1967924668105736, -0.2639664074576945, -1.8207775271474487, -0.48717378096803493, -0.5208826398444627, 2.2367786332264656, 1.2444203902507334]"
case_04_pre_failure,candidate_02,reused_ordinary,3,False,solver_failure,0.0016040237885172057,0.005029255202882636,0.0436,"[-2.153166088937826, -0.26628800078109877, -1.8637659755434357, -0.4664517817652231, -0.5164279024036565, 2.228528850729824, 1.2389267932206884]"
case_04_pre_failure,candidate_02,reused_ordinary,4,False,solver_failure,0.0016040237885172057,0.005029255202882636,0.0436,"[-2.153166088937826, -0.26628800078109877, -1.8637659755434357, -0.4664517817652231, -0.5164279024036565, 2.228528850729824, 1.2389267932206884]"
case_04_pre_failure,candidate_00,reused_ordinary,2,False,solver_failure,0.001605511090440852,0.0049851319626938815,0.0436,"[-2.1531834674543964, -0.26628328539241786, -1.8637367943725776, -0.4664376354614646, -0.5164281169577526, 2.2284708011743852, 1.2389487574361246]"
case_04_pre_failure,candidate_02,reused_ordinary,2,False,solver_failure,0.0016040237885172057,0.005029255202882636,0.0436,"[-2.153166088937826, -0.26628800078109877, -1.8637659755434357, -0.4664517817652231, -0.5164279024036565, 2.228528850729824, 1.2389267932206884]"
case_04_pre_failure,candidate_00,reused_ordinary,3,False,solver_failure,0.001605511090440852,0.0049851319626938815,0.0436,"[-2.1531834674543964, -0.26628328539241786, -1.8637367943725776, -0.4664376354614646, -0.5164281169577526, 2.2284708011743852, 1.2389487574361246]"
case_04_pre_failure,candidate_00,reused_ordinary,4,False,solver_failure,0.001605511090440852,0.0049851319626938815,0.0436,"[-2.1531834674543964, -0.26628328539241786, -1.8637367943725776, -0.4664376354614646, -0.5164281169577526, 2.2284708011743852, 1.2389487574361246]"
case_05_pre_failure,candidate_04,reused_ordinary,2,True,accepted,5.218815969350986e-06,1.7282089200815377e-06,9.71445146547012e-17,"[-2.346853162911515, -0.022587001859187, 1.3595871501346104, -0.3976325756452754, 0.8388291714404721, 2.051073083620282, -1.4910069859825499]"
case_05_pre_failure,candidate_04,reused_ordinary,4,True,accepted,6.038768928518684e-07,1.1129814554022854e-05,9.71445146547012e-17,"[-2.359110394642739, -0.022535049540399123, 1.3717516836597403, -0.39713609511097475, 0.8388291714404721, 2.0509084981109553, -1.4908475198210591]"
case_05_pre_failure,candidate_04,reused_ordinary,1,True,accepted,6.038768928518684e-07,1.1129814554022854e-05,9.71445146547012e-17,"[-2.359110394642739, -0.022535049540399123, 1.3717516836597403, -0.39713609511097475, 0.8388291714404721, 2.0509084981109553, -1.4908475198210591]"
case_05_pre_failure,candidate_03,reused_ordinary,1,False,solver_failure,0.002594940264041542,0.007026190119239182,0.0436,"[-2.291521036980763, -0.0037890514169973367, 1.4001396477473471, -0.3954651832719332, 0.7359418222355354, 2.0672966054440245, -1.4824694831796454]"
case_05_pre_failure,candidate_03,reused_ordinary,2,False,solver_failure,0.002594940264041542,0.007026190119239182,0.0436,"[-2.291521036980763, -0.0037890514169973367, 1.4001396477473471, -0.3954651832719332, 0.7359418222355354, 2.0672966054440245, -1.4824694831796454]"
case_05_pre_failure,candidate_00,reused_ordinary,1,True,accepted,1.0344435709611766e-05,9.21637963663183e-06,9.71445146547012e-17,"[-2.3328802968317266, -0.022650925521117676, 1.345706452555196, -0.3981960882025662, 0.8388294046852185, 2.0512660866625176, -1.4911872274408844]"
case_05_pre_failure,candidate_04,reused_ordinary,3,True,accepted,6.038768928518684e-07,1.1129814554022854e-05,9.71445146547012e-17,"[-2.359110394642739, -0.022535049540399123, 1.3717516836597403, -0.39713609511097475, 0.8388291714404721, 2.0509084981109553, -1.4908475198210591]"
case_05_pre_failure,candidate_04,reused_ordinary,0,True,accepted,5.902641782924408e-06,4.877301672822697e-07,0.0026464406050736716,"[-2.3501401577172976, -0.021987271389885092, 1.3653051359094397, -0.3973383089119924, 0.8361827308353985, 2.051316248687647, -1.4906109545668094]"
case_05_pre_failure,candidate_00,reused_ordinary,0,True,accepted,1.185710129886684e-05,6.088572376002994e-06,0.008420009702165485,"[-2.3480275035479616, -0.02072919380463401, 1.368556248397914, -0.3970680933351025, 0.8304093949830531, 2.0519702030423863, -1.489857383589217]"
