run_id,site_id,uid,role,candidate_id,variant,repeat,frame,frames,complete,accepted_frames,first_failure,first_failure_kind,contiguous_success_frames,total_latency_ns,refinement_latency_ns,refinement_residual_calls,refinement_scipy_nfev,initial_refinement_latency_ns,initial_refinement_residual_calls,native_trac_fev,total_fev,witness
case_01_pre_failure_matched_03_ordinary_matched_r0,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_03,ordinary_matched,0,33,30,False,0,34,solver_failure,0,163346966,0,0,0,0,0,,,
case_01_pre_failure_matched_04_ordinary_matched_r3,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_04,ordinary_matched,3,33,30,True,30,,,30,15861759,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_04_ordinary_matched_r3.json
case_01_pre_failure_matched_00_ordinary_matched_r2,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_00,ordinary_matched,2,33,30,False,0,34,solver_failure,0,163444250,0,0,0,0,0,,,
case_01_pre_failure_matched_02_ordinary_matched_r3,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_02,ordinary_matched,3,33,30,True,30,,,30,15757213,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_02_ordinary_matched_r3.json
case_01_pre_failure_matched_04_ordinary_matched_r0,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_04,ordinary_matched,0,33,30,True,30,,,30,15422609,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_04_ordinary_matched_r0.json
case_01_pre_failure_matched_01_ordinary_matched_r3,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_01,ordinary_matched,3,33,30,True,30,,,30,15828856,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_01_ordinary_matched_r3.json
case_01_pre_failure_matched_05_ordinary_matched_r3,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_05,ordinary_matched,3,33,30,True,30,,,30,14766352,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_05_ordinary_matched_r3.json
case_01_pre_failure_matched_01_ordinary_matched_r2,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_01,ordinary_matched,2,33,30,True,30,,,30,15061708,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_01_ordinary_matched_r2.json
case_02_pre_failure_matched_00_ordinary_matched_r0,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_00,ordinary_matched,0,86,30,False,1,88,solver_failure,1,159002859,0,0,0,0,0,,,
case_02_pre_failure_candidate_00_uniform_refinement_r1,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,candidate_00,uniform_refinement,1,86,30,False,0,87,solver_failure,0,164120158,0,0,0,174837469,1600,,,
case_02_pre_failure_matched_05_ordinary_matched_r2,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_05,ordinary_matched,2,86,30,False,0,87,solver_failure,0,163712739,0,0,0,0,0,,,
case_02_pre_failure_matched_01_ordinary_matched_r1,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_01,ordinary_matched,1,86,30,False,1,88,solver_failure,1,157925067,0,0,0,0,0,,,
case_02_pre_failure_matched_00_ordinary_matched_r4,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_00,ordinary_matched,4,86,30,False,1,88,solver_failure,1,158272916,0,0,0,0,0,,,
case_02_pre_failure_matched_04_ordinary_matched_r2,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_04,ordinary_matched,2,86,30,False,1,88,solver_failure,1,158043818,0,0,0,0,0,,,
case_02_pre_failure_matched_04_ordinary_matched_r0,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_04,ordinary_matched,0,86,30,False,1,88,solver_failure,1,157918914,0,0,0,0,0,,,
case_02_pre_failure_matched_02_ordinary_matched_r0,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_02,ordinary_matched,0,86,30,False,0,87,solver_failure,0,163919060,0,0,0,0,0,,,
case_02_pre_failure_matched_05_ordinary_matched_r4,case_02_pre_failure,a5b1761b74cefaee8b9e8d58bc938cbc4d6d190674ad988e14e10767e8f38c28,trac_failed,matched_05,ordinary_matched,4,86,30,False,0,87,solver_failure,0,164184326,0,0,0,0,0,,,
